graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n8_d75_adj_matrix,greedy,2,1530.79,2.0000209280005947,8,2,239543,0,time_limit
graph_n8_d75_adj_matrix,local,0,1782.14,2.000717720000466,4,1,1070,0,time_limit
graph_n8_d75_adj_matrix,local,1,1782.14,2.00116280399925,5,1,962,0,time_limit
graph_n8_d75_adj_matrix,local,2,1782.14,2.0017245229992113,5,1,1070,0,time_limit
graph_n4_d75_adj_matrix,random,0,452.48,2.000017864000256,4,2,499492,0,time_limit
graph_n4_d75_adj_matrix,random,1,597.82,2.000013309001588,3,1,477429,0,time_limit
graph_n4_d75_adj_matrix,random,2,597.82,2.0000146200000017,3,1,428988,0,time_limit
graph_n4_d75_adj_matrix,greedy,0,452.48,2.0000184460004675,2,2,434743,0,time_limit
graph_n4_d75_adj_matrix,greedy,1,452.48,2.0000190580012713,2,2,443485,0,time_limit
graph_n4_d75_adj_matrix,greedy,2,597.82,2.0000191109993466,2,1,403933,0,time_limit
graph_n4_d75_adj_matrix,local,0,597.82,2.0012642959991354,1,1,1425,0,time_limit
graph_n4_d75_adj_matrix,local,1,597.82,2.000047853000069,1,1,1417,0,time_limit
graph_n4_d75_adj_matrix,local,2,597.82,2.000323499998558,1,1,1427,0,time_limit
graph_n19_d25_adj_matrix,random,0,2632.75,0.006364643999404507,400,10,5,0,max_candidates
graph_n19_d25_adj_matrix,random,1,2612.4700000000003,0.006477647999417968,400,8,6,0,max_candidates
graph_n19_d25_adj_matrix,random,2,2536.09,0.005900408001252799,400,3,1,0,max_candidates
graph_n19_d25_adj_matrix,greedy,0,2765.51,2.000055431999499,307,7,131747,0,time_limit
graph_n19_d25_adj_matrix,greedy,1,2765.51,2.0000382340003853,103,4,123168,0,time_limit
graph_n19_d25_adj_matrix,greedy,2,2678.11,2.00010686999849,312,2,141171,0,time_limit
graph_n19_d25_adj_matrix,local,0,2765.51,2.001780250999218,96,2,717,0,time_limit
graph_n19_d25_adj_matrix,local,1,2765.51,2.000372021999283,117,3,644,0,time_limit
graph_n19_d25_adj_matrix,local,2,2769.23,2.001066157999958,123,4,533,0,time_limit
graph_n14_d50_adj_matrix,random,0,2260.21,0.0063602450009057065,400,4,2,0,max_candidates
graph_n14_d50_adj_matrix,random,1,2347.58,0.006874976001199684,400,5,4,0,max_candidates
graph_n14_d50_adj_matrix,random,2,2413.94,0.006826994998846203,400,7,7,0,max_candidates
graph_n14_d50_adj_matrix,greedy,0,2474.65,2.0000361889997293,130,7,119105,0,time_limit
graph_n14_d50_adj_matrix,greedy,1,2377.73,2.000027299998692,139,5,146155,0,time_limit
graph_n14_d50_adj_matrix,greedy,2,2474.65,2.000034405000406,121,4,118745,0,time_limit
graph_n14_d50_adj_matrix,local,0,2324.2200000000003,2.0020484020005824,95,4,823,0,time_limit
graph_n14_d50_adj_matrix,local,1,2419.73,2.00084760000027,162,3,706,0,time_limit
graph_n14_d50_adj_matrix,local,2,2412.81,2.000254906999544,128,2,746,0,time_limit
graph_n9_d50_adj_matrix,random,0,1143.0,2.0000262260000454,86,2,224772,0,time_limit
graph_n9_d50_adj_matrix,random,1,1070.47,2.0000222960006795,52,3,253259,0,time_limit
graph_n9_d50_adj_matrix,random,2,1143.0,2.0000313549990096,101,4,225260,0,time_limit
graph_n9_d50_adj_matrix,greedy,0,1143.0,2.000014712000848,3,2,250814,0,time_limit
