graph,algorithm,repetition,best_weight,runtime,candidates,improvements,duplicates,infeasible,stopping_reason
graph_n14_d75_adj_matrix,greedy,2,2503.75,2.0000345049993484,151,2,89585,0,time_limit
graph_n14_d75_adj_matrix,local,0,2503.75,2.001676490999671,89,4,628,0,time_limit
graph_n14_d75_adj_matrix,local,1,2503.75,2.000452172000223,82,4,637,0,time_limit
graph_n14_d75_adj_matrix,local,2,2445.86,2.001117699999668,86,2,824,0,time_limit
graph_n19_d50_adj_matrix,random,0,2787.33,0.009947425998689141,400,4,0,0,max_candidates
graph_n19_d50_adj_matrix,random,1,2643.52,0.00904395200086583,400,7,0,0,max_candidates
graph_n19_d50_adj_matrix,random,2,2543.37,0.009174417000394897,400,7,10,0,max_candidates
graph_n19_d50_adj_matrix,greedy,0,2832.79,0.04583786200055329,400,3,1504,0,max_candidates
graph_n19_d50_adj_matrix,greedy,1,2839.2400000000002,0.03238654300002963,400,7,854,0,max_candidates
graph_n19_d50_adj_matrix,greedy,2,2768.65,0.05243197400159261,400,6,1788,0,max_candidates
graph_n19_d50_adj_matrix,local,0,2851.19,2.0013074670005153,320,8,288,0,time_limit
graph_n19_d50_adj_matrix,local,1,2846.26,2.000406094999562,290,6,446,0,time_limit
graph_n19_d50_adj_matrix,local,2,2859.92,2.0031340519999503,337,10,281,0,time_limit
graph_n20_d12.5_adj_matrix,random,0,1948.65,0.013302974000907852,400,3,897,0,max_candidates
graph_n20_d12.5_adj_matrix,random,1,1948.65,0.006411197000488755,400,8,217,0,max_candidates
graph_n20_d12.5_adj_matrix,random,2,1578.31,2.0000740099985705,167,2,270564,0,time_limit
graph_n20_d12.5_adj_matrix,greedy,0,1948.65,2.000016745998437,25,3,216409,0,time_limit
graph_n20_d12.5_adj_matrix,greedy,1,1948.65,2.0000254819988186,26,5,218162,0,time_limit
graph_n20_d12.5_adj_matrix,greedy,2,1788.69,2.0000251390010817,40,5,241164,0,time_limit
